FedDistrict;Region;City;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
Приволжский;Кировская;Белая Холуница;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Приволжский;Кировская;Кирс;;;;;;;2;1;2;2;3;1;1;1;1;1;1;1;1;1;1;1;1
Приволжский;Кировская;Сосновка;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Приволжский;Кировская;Зуевка;;;;;;;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1
Приволжский;Кировская;Луза;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Приволжский;Кировская;Малмыж;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Приволжский;Кировская;Мураши;;;;;;;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1
Приволжский;Кировская;Нолинск;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Приволжский;Кировская;Омутнинск;;;;;;;2;1;3;3;3;3;3;3;2;2;2;2;2;1;1;2;2
Приволжский;Кировская;Советск (Кировская область);;;;;;;2;3;3;3;3;3;3;2;1;2;2;2;2;2;2;2;2
Приволжский;Кировская;Уржум;;;;;;;2;1;1;1;2;2;2;1;1;1;1;1;1;1;1;1;1
Приволжский;Кировская;Орлов;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Приволжский;Кировская;Яранск;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Приволжский;Кировская;Киров (Кировская область);;;;;;;32;33;32;32;32;32;30;30;30;30;31;31;31;31;32;33;35
Приволжский;Кировская;Вятские Поляны;;;;;;;3;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1;1
Приволжский;Кировская;Кирово-Чепецк;;;;;;;2;2;2;2;2;2;2;2;2;3;3;3;3;3;4;5;5
Приволжский;Кировская;Котельнич;;;;;;;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3
Приволжский;Кировская;Слободской;;;;;;;3;3;3;3;3;5;5;5;4;4;4;4;3;1;1;1;1
Северо-западный;Архангельская;Нарьян-Мар;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Северо-западный;Архангельская;Вельск;;;;;;;5;5;2;2;1;1;1;1;3;3;3;2;1;1;2;2;2
Северо-западный;Архангельская;Каргополь;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Северо-западный;Архангельская;Сольвычегодск;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Северо-западный;Архангельская;Мезень;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Северо-западный;Архангельская;Няндома;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Северо-западный;Архангельская;Шенкурск;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Северо-западный;Архангельская;Архангельск;;;;;;;25;26;26;26;25;26;26;26;27;25;23;22;21;20;19;19;19
Северо-западный;Архангельская;Коряжма;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2
Северо-западный;Архангельская;Котлас;;;;;;;7;4;5;5;5;4;4;4;4;4;3;3;3;3;3;3;3
Северо-западный;Архангельская;Новодвинск;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Северо-западный;Архангельская;Онега;;;;;;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Северо-западный;Архангельская;Северодвинск;;;;;;;9;8;7;7;7;5;6;6;6;6;7;6;6;6;7;7;7
Южный;Астраханская;Ахтубинск;;;;;;;3;1;1;1;1;1;3;3;3;3;3;1;1;1;1;1;1
Южный;Астраханская;Камызяк;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Южный;Астраханская;Нариманов;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Южный;Астраханская;Харабали;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Южный;Астраханская;Астрахань;;;;;;;32;29;28;27;27;27;27;27;25;26;26;24;24;24;25;26;23
Центральный;Белгородская;Грайворон;;;;;;;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Центральный;Белгородская;Короча;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Белгородская;Бирюч;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1
Центральный;Белгородская;Новый Оскол;;;;;;;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1
Центральный;Белгородская;Строитель;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Белгородская;Белгород;;;;;;;17;16;16;16;16;16;16;16;15;15;15;15;15;15;15;15;15
Центральный;Белгородская;Алексеевка;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Белгородская;Валуйки;;;;;;;3;3;3;3;3;3;3;3;2;1;1;1;1;1;1;1;1
Центральный;Белгородская;Губкин;;;;;;;2;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2
Центральный;Белгородская;Старый Оскол;;;;;;;12;7;7;7;7;6;6;6;6;5;5;5;5;5;5;5;5
Центральный;Белгородская;Шебекино;;;;;;;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4
Центральный;Брянская;Дятьково;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Брянская;Фокино;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Центральный;Брянская;Жуковка;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2
Центральный;Брянская;Злынка;;;;;;;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2
Центральный;Брянская;Карачев;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Брянская;Мглин;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1
Центральный;Брянская;Почеп;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Брянская;Севск;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Брянская;Стародуб;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Брянская;Сураж;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Брянская;Трубчевск;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Брянская;Унеча;;;;;;;2;2;2;2;2;2;2;2;2;1;2;2;1;1;1;1;1
Центральный;Брянская;Брянск;;;;;;;25;25;25;25;25;25;26;25;24;23;22;21;21;21;22;22;21
Центральный;Брянская;Клинцы;;;;;;;5;4;4;4;4;4;4;4;4;5;5;5;5;5;5;4;4
Центральный;Брянская;Новозыбков;;;;;;;4;4;4;3;2;2;2;2;2;3;3;3;3;3;3;2;2
Центральный;Брянская;Сельцо;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Владимирская;Александров;;;;;;;5;5;5;5;4;4;3;4;4;4;4;3;3;4;3;3;3
Центральный;Владимирская;Карабаново;;;;;;;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Владимирская;Струнино;;;;;;;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Владимирская;Вязники;;;;;;;9;5;5;5;4;4;4;4;4;4;4;4;1;1;2;2;2
Центральный;Владимирская;Гороховец;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Владимирская;Курлово;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Владимирская;Камешково;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Владимирская;Киржач;;;;;;;5;5;3;3;2;2;2;3;3;2;2;2;2;1;2;2;2
Центральный;Владимирская;Кольчугино;;;;;;;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Владимирская;Меленки;;;;;;;1;1;1;1;2;2;2;2;2;2;2;1;1;1;1;1;1
Центральный;Владимирская;Петушки;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Владимирская;Костерево;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Владимирская;Покров;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;2;2
Центральный;Владимирская;Собинка;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Владимирская;Лакинск;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Владимирская;Судогда;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Владимирская;Суздаль;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Владимирская;Юрьев-Польский;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Владимирская;Владимир;;;;;;;22;20;20;20;21;21;21;20;20;20;20;20;20;20;23;23;24
Центральный;Владимирская;Гусь-Хрустальный;;;;;;;17;17;16;5;5;5;5;3;3;3;3;3;3;2;2;2;2
Центральный;Владимирская;Ковров;;;;;;;4;5;5;5;4;5;4;4;4;4;4;4;4;4;4;4;4
Центральный;Владимирская;Муром;;;;;;;10;11;11;11;8;8;8;8;8;8;7;7;7;7;6;7;7
Южный;Волгоградская;Дубовка;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Южный;Волгоградская;Жирновск;;;;;;;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1
Южный;Волгоградская;Калач-на-Дону;;;;;;;3;2;2;2;2;2;2;2;2;2;3;3;2;2;2;2;2
Южный;Волгоградская;Петров Вал;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2
Южный;Волгоградская;Котельниково;;;;;;;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Южный;Волгоградская;Котово;;;;;;;6;1;1;1;1;2;1;1;1;1;1;2;2;2;2;2;2
Южный;Волгоградская;Ленинск;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Южный;Волгоградская;Николаевск;;;;;;;1;3;3;1;1;1;1;1;2;2;2;2;1;1;1;1;1
Южный;Волгоградская;Новоаннинский;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Южный;Волгоградская;Палласовка;;;;;;;1;1;1;1;1;1;1;1;2;2;2;2;2;2;1;1;2
Южный;Волгоградская;Серафимович;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Южный;Волгоградская;Краснослободск (Волгоградская область);;;;;;;1;1;1;2;2;2;2;2;1;1;1;1;1;1;1;1;1
Южный;Волгоградская;Суровикино;;;;;;;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Южный;Волгоградская;Волгоград;;;;;;;48;48;49;49;49;51;46;46;45;46;46;46;48;48;53;54;54
Южный;Волгоградская;Волжский;;;;;;;10;9;9;14;14;14;11;12;12;12;12;11;11;11;13;12;10
Южный;Волгоградская;Камышин;;;;;;;7;9;7;7;8;7;7;8;7;7;8;7;8;7;8;8;6
Южный;Волгоградская;Михайловка;;;;;;;6;6;6;5;5;5;5;5;5;5;5;5;5;5;5;5;11
Южный;Волгоградская;Урюпинск;;;;;;;6;4;4;1;1;1;2;2;2;2;2;2;2;1;2;2;2
Южный;Волгоградская;Фролово;;;;;;;2;1;1;2;1;2;2;2;1;1;1;1;1;1;2;2;2
Северо-западный;Вологодская;Бабаево;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Северо-западный;Вологодская;Белозерск;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Северо-западный;Вологодская;Вытегра;;;;;;;1;1;1;2;2;1;3;3;3;2;2;1;1;1;1;1;1
Северо-западный;Вологодская;Грязовец;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Северо-западный;Вологодская;Кириллов;;;;;;;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Северо-западный;Вологодская;Никольск (Вологодская область);;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Северо-западный;Вологодская;Кадников;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Северо-западный;Вологодская;Тотьма;;;;;;;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1
Северо-западный;Вологодская;Устюжна;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Северо-западный;Вологодская;Харовск;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Северо-западный;Вологодская;Вологда;;;;;;;17;18;16;16;15;17;17;17;17;18;16;17;16;16;16;16;16
Северо-западный;Вологодская;Великий Устюг;;;;;;;5;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3
Северо-западный;Вологодская;Красавино;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Северо-западный;Вологодская;Сокол;;;;;;;4;4;4;4;4;4;4;4;3;3;3;3;3;2;2;1;1
Северо-западный;Вологодская;Череповец;;;;;;;6;11;11;11;11;11;11;11;10;10;9;9;9;9;9;9;9
Центральный;Воронежская;Бобров;;;;;;;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1
Центральный;Воронежская;Богучар;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Воронежская;Бутурлиновка;;;;;;;1;1;1;1;1;1;2;2;2;2;2;2;2;2;3;3;3
Центральный;Воронежская;Калач;;;;;;;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;1
Центральный;Воронежская;Лиски;;;;;;;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2
Центральный;Воронежская;Новохоперск;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1
Центральный;Воронежская;Острогожск;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3
Центральный;Воронежская;Павловск (Воронежская область);;;;;;;6;6;6;6;6;4;3;3;3;3;3;3;3;4;3;3;3
Центральный;Воронежская;Поворино;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Воронежская;Россошь;;;;;;;3;3;3;3;3;2;3;2;2;2;2;2;2;2;2;2;2
Центральный;Воронежская;Семилуки;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Воронежская;Эртиль;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Воронежская;Воронеж;;;;;;;40;36;36;36;37;36;38;34;35;34;35;33;34;34;36;37;36
Центральный;Воронежская;Борисоглебск;;;;;;;2;3;3;3;5;6;6;4;4;5;5;6;5;5;4;4;4
Центральный;Воронежская;Нововоронеж;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Ивановская;Гаврилов Посад;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Ивановская;Заволжск;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Ивановская;Кохма;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;4;4
Центральный;Ивановская;Наволоки;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Ивановская;Комсомольск;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Ивановская;Плес;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Ивановская;Приволжск;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Ивановская;Пучеж;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Ивановская;Родники;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Ивановская;Южа;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Ивановская;Юрьевец;;;;;;;1;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Ивановская;Иваново;;;;;;;25;24;24;24;24;24;24;23;23;24;24;25;25;25;25;25;25
Центральный;Ивановская;Вичуга;;;;;;;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Ивановская;Кинешма;;;;;;;6;6;6;6;6;5;4;4;4;4;4;4;4;4;4;5;4
Центральный;Ивановская;Тейково;;;;;;;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;1;1
Центральный;Ивановская;Фурманов;;;;;;;5;5;4;4;4;4;4;4;3;1;1;1;1;1;1;1;1
Центральный;Ивановская;Шуя;;;;;;;4;4;4;4;4;3;3;3;2;2;2;2;2;2;2;2;2
Северо-западный;Калининградская;Багратионовск;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Северо-западный;Калининградская;Ладушкин;;;;;;;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1
Северо-западный;Калининградская;Мамоново;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Северо-западный;Калининградская;Гвардейск;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Северо-западный;Калининградская;Гурьевск (Калининградская область);;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Северо-западный;Калининградская;Гусев;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Северо-западный;Калининградская;Зеленоградск;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Северо-западный;Калининградская;Краснознаменск (Калининградская область);;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Северо-западный;Калининградская;Неман;;;;;;;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Северо-западный;Калининградская;Нестеров;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Северо-западный;Калининградская;Озерск;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Северо-западный;Калининградская;Полесск;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Северо-западный;Калининградская;Правдинск;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Северо-западный;Калининградская;Славск;;;;;;;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Северо-западный;Калининградская;Черняховск;;;;;;;3;2;2;3;4;4;4;3;3;4;3;3;3;2;2;3;3
Северо-западный;Калининградская;Калининград;;;;;;;28;31;31;32;31;32;31;34;33;32;36;29;27;24;25;26;25
Северо-западный;Калининградская;Балтийск;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2
Северо-западный;Калининградская;Пионерский;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Северо-западный;Калининградская;Светлогорск;;;;;;;;1;;;;;;;;;;;;;;;
Северо-западный;Калининградская;Светлый;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Северо-западный;Калининградская;Советск (Калининградская область);;;;;;;8;7;6;6;6;6;6;6;6;4;4;4;3;3;3;3;3
Центральный;Калужская;Боровск;;;;;;;1;1;1;1;1;1;1;1;1;;1;;1;1;1;1;1
Центральный;Калужская;Балабаново;;;;;;;1;1;1;1;1;1;1;1;1;;1;;1;1;1;1;1
Центральный;Калужская;Кондрово;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Центральный;Калужская;Жиздра;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
