FedDistrict,Region,City,2009,2010,2011,2012,2013
Центральный,Белгородская,Грайворон,30,32,34,36,36
Центральный,Белгородская,Короча,79,78,80,89,95
Центральный,Белгородская,Бирюч,63,65,79,85,89
Центральный,Белгородская,Новый Оскол,98,98,102,103,103
Центральный,Белгородская,Строитель,,,,,
Центральный,Белгородская,Белгород,367,379,380,380,381
Центральный,Белгородская,Алексеевка,138,140,141,143,146
Центральный,Белгородская,Валуйки,131,139,151,151,153
Центральный,Белгородская,Губкин,117,139,149,159,172
Центральный,Белгородская,Старый Оскол,520,521,530,539,539
Центральный,Белгородская,Шебекино,149,149,150,150,150
Центральный,Брянская,Дятьково,71,69,70,72,72
Центральный,Брянская,Фокино,23,23,23,19,19
Центральный,Брянская,Жуковка,48,44,44,44,44
Центральный,Брянская,Злынка,24,24,24,24,24
Центральный,Брянская,Карачев,15,15,15,15,15
Центральный,Брянская,Мглин,52,42,39,39,39
Центральный,Брянская,Почеп,10,15,15,15,15
Центральный,Брянская,Севск,50,50,50,50,50
Центральный,Брянская,Стародуб,40,40,40,55,55
Центральный,Брянская,Сураж,33,33,33,32,33
Центральный,Брянская,Трубчевск,60,72,72,72,72
Центральный,Брянская,Унеча,24,41,74,29,29
Центральный,Брянская,Брянск,588,656,624,1124,1124
Центральный,Брянская,Клинцы,153,173,170,165,165
Центральный,Брянская,Новозыбков,87,115,111,140,140
Центральный,Брянская,Сельцо,30,30,34,34,34
Центральный,Владимирская,Александров,82,80,73,57,6
Центральный,Владимирская,Карабаново,49,48,48,48,46
Центральный,Владимирская,Струнино,50,52,53,53,53
Центральный,Владимирская,Вязники,35,35,37,37,39
Центральный,Владимирская,Гороховец,10,11,12,11,13
Центральный,Владимирская,Курлово,10,10,14,15,21
Центральный,Владимирская,Камешково,32,32,33,33,37
Центральный,Владимирская,Киржач,25,29,33,34,42
Центральный,Владимирская,Кольчугино,85,87,98,101,103
Центральный,Владимирская,Меленки,26,28,28,29,31
Центральный,Владимирская,Петушки,27,30,37,38,41
Центральный,Владимирская,Костерово,20,21,22,26,31
Центральный,Владимирская,Покров,18,29,30,36,37
Центральный,Владимирская,Собинка,105,106,106,106,109
Центральный,Владимирская,Лакинск,40,43,53,56,70
Центральный,Владимирская,Судогда,40,38,43,47,59
Центральный,Владимирская,Суздаль,37,39,39,49,51
Центральный,Владимирская,Юрьев-Польский,38,51,52,42,45
Центральный,Владимирская,Владимир,403,381,360,324,334
Центральный,Владимирская,Гусь-Хрустальный,17,19,39,41,41
Центральный,Владимирская,Ковров,206,167,134,149,137
Центральный,Владимирская,Муром,202,192,150,207,209
Центральный,Владимирская,Радужный (Владимирская область),,,,,
Центральный,Воронежская,Бобров,80,80,75,80,90
Центральный,Воронежская,Богучар,20,20,14,19,26
Центральный,Воронежская,Бутурлиновка,21,27,27,27,77
Центральный,Воронежская,Калач,15,41,44,42,45
Центральный,Воронежская,Лиски,50,50,50,65,75
Центральный,Воронежская,Новохоперск,21,21,36,21,23
Центральный,Воронежская,Острогожск,70,70,85,85,85
Центральный,Воронежская,Павловск (Воронежская область),10,10,56,42,60
Центральный,Воронежская,Поворино,20,20,10,11,11
Центральный,Воронежская,Россошь,92,49,98,78,73
Центральный,Воронежская,Семилуки,58,58,60,58,58
Центральный,Воронежская,Эртиль,24,24,48,33,33
Центральный,Воронежская,Воронеж,1389,1744,1713,1780,1937
Центральный,Воронежская,Борисоглебск,145,120,145,147,161
Центральный,Воронежская,Нововоронеж,70,60,60,60,60
Центральный,Ивановская,Гаврилов посад,45,44,44,29,33
Центральный,Ивановская,Заволжск,35,36,36,36,36
Центральный,Ивановская,Кохма,70,71,75,76,75
Центральный,Ивановская,Наволоки,47,49,45,60,45
Центральный,Ивановская,Комсомольск,20,22,23,23,43
Центральный,Ивановская,Плес,15,15,15,15,15
Центральный,Ивановская,Приволжск,35,35,35,35,35
Центральный,Ивановская,Пучеж,24,25,25,23,23
Центральный,Ивановская,Родники,63,64,57,68,70
Центральный,Ивановская,Южа,34,34,34,34,35
Центральный,Ивановская,Юрьевец,37,37,37,37,39
Центральный,Ивановская,Иваново,988,1117,1253,1320,1489
Центральный,Ивановская,Вичуга,79,79,79,54,54
Центральный,Ивановская,Кинешма,298,302,302,240,190
Центральный,Ивановская,Тейково,10,17,22,15,15
Центральный,Ивановская,Фурманов,,,,,
Центральный,Ивановская,Шуя,102,110,113,114,114
Центральный,Тверская,Андреаполь,17,17,17,17,17
Центральный,Тверская,Белый,5,5,5,5,8
Центральный,Тверская,Весьегонск,20,20,20,20,20
Центральный,Тверская,Западная Двина,40,27,19,19,19
Центральный,Тверская,Зубцов,13,21,21,21,21
Центральный,Тверская,Калязин,,,,,
Центральный,Тверская,Красный холм,14,12,12,12,12
Центральный,Тверская,Кувшиново,12,12,12,12,13
Центральный,Тверская,Лихославль,10,12,12,12,13
Центральный,Тверская,Старица,12,15,15,15,15
Центральный,Тверская,Торопец,18,18,18,18,23
Центральный,Тверская,Тверь,433,508,514,605,593
Центральный,Тверская,Бежецк,,,,,
Центральный,Тверская,Бологое,30,30,30,30,30
Центральный,Тверская,Вышний Волочек,156,181,181,171,171
Центральный,Тверская,Кашин,70,70,70,60,60
Центральный,Тверская,Кимры,30,30,70,70,45
Центральный,Тверская,Конаково,50,50,83,83,66
Центральный,Тверская,Нелидово,,,,,
Центральный,Тверская,Осташков,10,12,14,14,14
Центральный,Тверская,Ржев,88,88,88,58,83
Центральный,Тверская,Торжок,90,90,95,95,80
Центральный,Тверская,Удомля,45,75,65,65,65
Центральный,Калужская,Боровск,45,36,27,31,31
Центральный,Калужская,Балабаново,60,63,76,70,70
Центральный,Калужская,Кондрово,48,30,32,46,46
Центральный,Калужская,Жиздра,21,22,22,27,25
Центральный,Калужская,Жуков,6,22,18,17,17
Центральный,Калужская,Козельск,57,58,54,50,52
Центральный,Калужская,Сосенский,55,55,60,60,44
Центральный,Калужская,Малоярославец,10,10,8,8,8
Центральный,Калужская,Медынь,15,15,15,15,15
Центральный,Калужская,Мещовск,23,23,23,21,23
Центральный,Калужская,Мосальск,15,15,15,15,15
Центральный,Калужская,Спас-Деменск,19,19,19,19,24
Центральный,Калужская,Сухиничи,62,53,53,55,54
Центральный,Калужская,Таруса,35,35,35,35,19
Центральный,Калужская,Юхнов,15,10,10,5,13
Центральный,Калужская,Калуга,337,319,755,1049,1004
Центральный,Калужская,Киров (Калужская область),81,61,61,81,28
Центральный,Калужская,Людиново,68,68,56,56,53
Центральный,Калужская,Обнинск,52,52,52,84,132
Центральный,Костромская,Кологрив,20,20,8,5,4
Центральный,Костромская,Макарьев,30,28,18,18,19
Центральный,Костромская,Солигалич,,,,,
Центральный,Костромская,Чухлома,9,5,,,
Центральный,Костромская,Кострома,473,392,334,661,886
Центральный,Костромская,Буй,60,60,30,,
Центральный,Костромская,Волгореченск,31,31,34,36,46
Центральный,Костромская,Галич,19,13,26,32,35
Центральный,Костромская,Мантурово,26,22,34,38,41
Центральный,Костромская,Нерехта,65,37,34,35,35
Центральный,Костромская,Нея,64,32,30,29,28
Центральный,Костромская,Шарья,73,58,20,21,21
Центральный,Курская,Дмитриев-Льговский,,,,,
Центральный,Курская,Обоянь,,,,,
Центральный,Курская,Рыльск,,,,,
Центральный,Курская,Суджа,,,,,
Центральный,Курская,Фатеж,,,,,
Центральный,Курская,Курск,184,149,212,548,575
Центральный,Курская,Железногорск,104,104,104,110,144
Центральный,Курская,Курчатов,90,90,90,90,90
Центральный,Курская,Льгов,,,,,
Центральный,Курская,Щигры,,,,,
Центральный,Липецкая,Грязи,100,100,140,140,150
Центральный,Липецкая,Данков,98,65,30,30,67
Центральный,Липецкая,Задонск,60,24,70,70,34
Центральный,Липецкая,Лебедянь,18,18,23,23,66
Центральный,Липецкая,Усмань,15,46,46,46,60
Центральный,Липецкая,Чаплыгин,7,14,46,46,52
Центральный,Липецкая,Липецк,430,430,,,1734
Центральный,Липецкая,Елец,195,270,245,245,300
Центральный,Московская,Москва,1127,2212,2303,9349,11402
Центральный,Московская,Зеленоград,,,,,
Центральный,Московская,Балашиха,24,30,30,259,301
Центральный,Московская,Волоколамск,17,25,17,17,17
Центральный,Московская,Воскресенск,70,70,191,190,166
Центральный,Московская,Дмитров,85,73,73,83,73
Центральный,Московская,Яхрома,26,27,27,30,30
Центральный,Московская,Домодедово,113,131,175,172,175
Центральный,Московская,Егорьевск,176,76,97,97,158
Центральный,Московская,Сергиев Посад,30,45,65,247,247
Центральный,Московская,Краснозаводск,43,47,57,58,58
Центральный,Московская,Пересвет,19,19,19,19,19
Центральный,Московская,Хотьково,23,25,27,27,27
Центральный,Московская,Зарайск,50,50,87,87,95
Центральный,Московская,Истра,35,35,30,30,30
Центральный,Московская,Дедовск,35,35,35,39,39
Центральный,Московская,Кашира,21,28,37,37,37
Центральный,Московская,Ожерелье,30,30,30,30,30
Центральный,Московская,Клин,183,184,192,187,187
Центральный,Московская,Высоковск,18,18,15,30,37
Центральный,Московская,Красногорск (Московская область),145,140,140,144,144
Центральный,Московская,Видное,20,59,85,99,48
Центральный,Московская,Московский,,,,,
Центральный,Московская,Луховицы,121,100,110,224,226
Центральный,Московская,Люберцы,249,249,165,177,239
Центральный,Московская,Можайск,28,28,34,34,68
Центральный,Московская,Мытищи,20,20,20,374,514
Центральный,Московская,Наро-Фоминск,110,110,59,121,57
Центральный,Московская,Апрелевка,44,44,44,28,23
Центральный,Московская,Верея,11,10,12,13,12
Центральный,Московская,Ногинск,323,323,323,343,323
Центральный,Московская,Старая Купавна,85,85,85,85,85
Центральный,Московская,Электроугли,15,15,15,15,15
Центральный,Московская,Одинцово,53,53,53,53,101
Центральный,Московская,Голицыно,6,6,6,6,5
Центральный,Московская,Кубинка,30,38,38,38,38
Центральный,Московская,Озеры,6,5,5,4,2
Центральный,Московская,Дрезна,2,25,19,19,9
Центральный,Московская,Куровское,4,11,59,73,42
Центральный,Московская,Ликино-Дулево,4,11,59,73,42
Центральный,Московская,Павловский Посад,95,95,95,95,95
Центральный,Московская,Пушкино,96,83,127,116,135
Центральный,Московская,Раменское,196,196,182,186,186
Центральный,Московская,Руза,20,21,21,41,41
Центральный,Московская,Черноголовка,,,,,
Центральный,Московская,Электрогорск,,,,,
Центральный,Московская,Солнечногорск,103,169,173,93,257
Центральный,Московская,Ступино,70,89,123,141,150
Центральный,Московская,Талдом,15,26,83,83,117
Центральный,Московская,Сходня,,,,,
Центральный,Московская,Чехов (Московская область),40,40,119,119,119
Центральный,Московская,Шатура,50,51,112,51,51
Центральный,Московская,Щелково,55,70,66,87,80
Центральный,Московская,Бронницы,43,43,43,43,43
Центральный,Московская,Дзержинский,72,94,94,74,74
Центральный,Московская,Долгопрудный,122,122,122,122,122
Центральный,Московская,Дубна,108,108,214,196,
Центральный,Московская,Железнодорожный,1,139,154,165,171
Центральный,Московская,Жуковский,116,116,131,131,131
Центральный,Московская,Звенигород,25,32,32,32,32
Центральный,Московская,Ивантеевка,,,,,
Центральный,Московская,Королев,114,114,114,114,114
Центральный,Московская,Климовск,,,,,
Центральный,Московская,Коломна,146,172,174,172,116
Центральный,Московская,Лобня,35,35,35,,30
Центральный,Московская,Лыткарино,20,19,46,46,46
Центральный,Московская,Лосино-Петровский,10,12,12,14,34
Центральный,Московская,Красноармейск (Московская область),22,22,50,51,43
Центральный,Московская,Котельники,35,35,35,84,84
Центральный,Московская,Орехово-Зуево,312,673,708,798,923
Центральный,Московская,Подольск,307,307,307,307,307
Центральный,Московская,Пущино,18,9,9,9,9
Центральный,Московская,Реутов,50,50,50,50,50
Центральный,Московская,Рошаль,35,35,38,41,41
Центральный,Московская,Протвино,37,43,45,47,47
Центральный,Московская,Серпухов,184,131,131,131,131
Центральный,Московская,Троицк (Московская область),46,46,46,46,46
Центральный,Московская,Фрязино,84,84,84,84,84
Центральный,Московская,Химки,90,90,90,90,90
Центральный,Московская,Щербинка,,,,,
Центральный,Московская,Электросталь,177,177,177,182,187
Центральный,Московская,Юбилейный,54,54,20,20,20
Центральный,Орловская,Болхов,32,20,21,30,35
Центральный,Орловская,Дмитровск,10,17,20,20,20
Центральный,Орловская,Малоархангельск,13,16,16,16,16
Центральный,Орловская,Новосиль,15,18,18,23,23
Центральный,Орловская,Орел,174,244,277,921,737
Центральный,Орловская,Ливны,45,43,43,44,136
Центральный,Орловская,Мценск,55,55,57,65,111
Центральный,Рязанская,Спас-Клепики,23,72,49,49,49
Центральный,Рязанская,Кораблино,28,28,56,63,63
Центральный,Рязанская,Михайлов,25,25,45,25,60
Центральный,Рязанская,Новомичуринск,30,45,45,45,55
Центральный,Рязанская,Рыбное,10,64,64,64,81
Центральный,Рязанская,Ряжск,80,50,85,115,133
Центральный,Рязанская,Спасск-Рязанский,20,50,50,45,50
Центральный,Рязанская,Шацк,43,32,32,32,32
Центральный,Рязанская,Рязань,716,503,401,524,712
Центральный,Рязанская,Касимов,111,86,106,111,115
Центральный,Рязанская,Сасово,75,55,60,60,69
Центральный,Рязанская,Скопин,65,70,110,110,82
Центральный,Смоленская,Велиж,24,35,38,37,40
Центральный,Смоленская,Вязьма,82,82,82,82,93
Центральный,Смоленская,Гагарин,42,37,58,63,69
Центральный,Смоленская,Демидов,32,32,34,34,36
Центральный,Смоленская,Дорогобуж,70,73,75,80,82
Центральный,Смоленская,Духовщина,20,27,33,33,59
Центральный,Смоленская,Ельня,29,30,37,37,37
Центральный,Смоленская,Починок,37,44,44,47,74
Центральный,Смоленская,Рославль,55,50,78,73,94
Центральный,Смоленская,Рудня,36,42,52,34,74
Центральный,Смоленская,Сафоново,99,74,99,99,114
Центральный,Смоленская,Сычевка,1,2,2,30,38
Центральный,Смоленская,Ярцево,32,32,31,19,45
Центральный,Смоленская,Смоленск,168,156,244,240,250
Центральный,Смоленская,Десногорск,11,11,13,23,21
Центральный,Тамбовская,Жердевка,68,,,57,38
Центральный,Тамбовская,Тамбов,287,323,347,688,757
Центральный,Тамбовская,Кирсанов,30,30,30,30,32
Центральный,Тамбовская,Котовск,55,46,46,45,44
Центральный,Тамбовская,Мичуринск,221,198,144,189,207
Центральный,Тамбовская,Моршанск,120,84,92,94,72
Центральный,Тамбовская,Рассказово,72,88,97,109,99
Центральный,Тамбовская,Уварово,94,80,72,61,54
Центральный,Тульская,Алексин,58,47,45,47,40
Центральный,Тульская,Белев,35,35,35,35,22
Центральный,Тульская,Венев,20,29,29,49,49
Центральный,Тульская,Ефремов,104,86,86,86,90
Центральный,Тульская,Кимовск,40,35,40,48,45
Центральный,Тульская,Киреевск,50,47,45,47,47
Центральный,Тульская,Болохово,16,12,12,12,12
Центральный,Тульская,Липки,24,24,24,24,24
Центральный,Тульская,Новомосковск,331,230,215,155,286
Центральный,Тульская,Сокольники,0,0,0,0,0
Центральный,Тульская,Плавск,20,21,25,25,20
Центральный,Тульская,Суворов,99,110,115,112,125
Центральный,Тульская,Чекалин,0,0,0,0,0
Центральный,Тульская,Советск (Тульская область),10,15,17,19,19
Центральный,Тульская,Ясногорск,41,24,29,27,29
Центральный,Тульская,Тула,429,589,679,780,987
Центральный,Тульская,Богородицк,25,25,25,25,56
Центральный,Тульская,Донской,40,65,65,75,75
Центральный,Тульская,Северо-Задонск,11,12,12,12,12
Центральный,Тульская,Узловая,142,128,146,134,60
Центральный,Тульская,Щекино,6,19,20,78,108
Центральный,Ярослаская,Гаврилов-Ям,0,7,10,10,15
Центральный,Ярослаская,Данилов,31,39,41,41,50
Центральный,Ярослаская,Любим,0,0,3,7,9
Центральный,Ярослаская,Мышкин,11,11,16,17,20
Центральный,Ярослаская,Пошехонье,9,9,9,9,10
Центральный,Ярослаская,Ярославль,454,466,497,545,1104
Центральный,Ярослаская,Переславль-Залесский,60,40,68,55,175
Центральный,Ярослаская,Ростов,12,19,28,34,45
Центральный,Ярослаская,Рыбинск,130,169,180,269,277
Центральный,Ярослаская,Тутаев,15,20,78,98,106
Центральный,Ярослаская,Углич,28,49,53,88,100
Северо-западный,Архангельская,Нарьян-Мар,20,15,15,15,15
Северо-западный,Архангельская,Вельск,14,14,48,61,55
Северо-западный,Архангельская,Каргополь,12,17,28,29,45
Северо-западный,Архангельская,Сольвычегодск,17,17,17,17,17
Северо-западный,Архангельская,Мезень,16,16,16,16,16
Северо-западный,Архангельская,Няндома,26,26,20,68,49
Северо-западный,Архангельская,Шенкурск,15,15,15,15,15
Северо-западный,Архангельская,Архангельск,79,69,40,505,505
Северо-западный,Архангельская,Коряжма,54,54,54,54,54
Северо-западный,Архангельская,Котлас,20,20,30,96,100
Северо-западный,Архангельская,Новодвинск,59,59,59,59,59
Северо-западный,Архангельская,Онега,10,18,49,60,55
Северо-западный,Архангельская,Северодвинск,115,115,75,378,287
Северо-западный,Вологодская,Бабаево,,,,,
Северо-западный,Вологодская,Белозерск,45,42,42,42,37
Северо-западный,Вологодская,Вытегра,35,35,35,35,36
Северо-западный,Вологодская,Грязовец,48,48,48,48,49
Северо-западный,Вологодская,Кириллов,15,15,15,17,17
Северо-западный,Вологодская,Никольск (Вологодская область),43,43,43,43,43
Северо-западный,Вологодская,Кадников,25,25,25,25,23
Северо-западный,Вологодская,Тотьма,38,38,38,105,128
Северо-западный,Вологодская,Устюжна,25,18,18,12,12
Северо-западный,Вологодская,Харовск,32,25,25,25,31
Северо-западный,Вологодская,Вологда,130,75,75,507,513
Северо-западный,Вологодская,Великий Устюг,71,71,71,93,93
Северо-западный,Вологодская,Красавино,19,19,19,19,18
Северо-западный,Вологодская,Сокол,107,95,80,80,75
Северо-западный,Вологодская,Череповец,708,703,491,18,383
Северо-западный,Калининградская,Багратионовск,76,60,60,60,60
Северо-западный,Калининградская,Ладушкин,27,27,25,25,30
Северо-западный,Калининградская,Мамоново,30,30,30,24,24
Северо-западный,Калининградская,Гвардейск,25,31,33,33,33
Северо-западный,Калининградская,Гурьевск (Калининградская область),105,100,88,88,88
Северо-западный,Калининградская,Гусев,15,15,15,15,15
Северо-западный,Калининградская,Зеленоградск,8,22,22,30,30
Северо-западный,Калининградская,Краснознаменск (Калининградская область),16,16,14,12,12
Северо-западный,Калининградская,Неман,20,36,36,36,20
Северо-западный,Калининградская,Нестеров,25,30,25,25,25
Северо-западный,Калининградская,Озерск,30,30,30,30,30
Северо-западный,Калининградская,Полесск,22,24,29,29,29
Северо-западный,Калининградская,Правдинск,25,25,25,25,25
Северо-западный,Калининградская,Славск,32,35,30,30,30
Северо-западный,Калининградская,Черняховск,90,120,60,70,60
Северо-западный,Калининградская,Калининград,598,714,721,782,754
Северо-западный,Калининградская,Балтийск,36,53,35,33,33
Северо-западный,Калининградская,Приморск (Калининградская область),25,30,25,25,25
Северо-западный,Калининградская,Пионерский,15,15,15,20,20
Северо-западный,Калининградская,Светлогорск,14,14,14,16,16
Северо-западный,Калининградская,Светлый,39,32,28,28,28
Северо-западный,Калининградская,Советск (Калининградская область),95,145,115,121,111
Северо-западный,Ленинградская,Санкт-Петербург,1065,1439,1887,7782,7901
Северо-западный,Ленинградская,Колпино,,,,,
Северо-западный,Ленинградская,Кронштатдт,,,,,
Северо-западный,Ленинградская,Зеленогорск,,,,,
Северо-западный,Ленинградская,Сестрорецк,,,,,
Северо-западный,Ленинградская,Петергоф,,,,,
Северо-западный,Ленинградская,Ломоносов,,,,,
Северо-западный,Ленинградская,Пушкин,,,,,
Северо-западный,Ленинградская,Павловск (г.Санкт-Петербург),,,,,
Северо-западный,Ленинградская,Волосово,180,183,210,210,210
